P_NAME,P_HABITABLE,P_ESI,P_TYPE_COMP,P_TYPE_TEMP,P_DISTANCE_LY,P_MASS_EM,P_RADIUS,P_ORBIT_PERIOD_DAYS,P_TEMP_EQUIL_K,P_DISTANCE_STAR_AU,S_NAME,S_TYPE,S_MASS_SM,S_RADIUS,S_TEMPERATURE_K,S_LUMINOSITY
Kepler-1497 b,0,0.2823855,Superterran,Hot,,,1.65908,8.7419977,851.87236,0.081910661,Kepler-1497,G,0.96,0.95,5675,0.83868586
Kepler-1498 b,0,0.45148938,Terran,Hot,,,1.33399,48.051405,420.44421,0.24593091,Kepler-1498,K,0.86,0.81,5256,0.44862153
Kepler-1499 b,0,0.46577873,Terran,Hot,,,1.18826,44.2008,414.67883,0.22894664,Kepler-1499,K,0.82,0.78,5097,0.36790559
Kepler-15 b,0,0.085422066,Jovian,Hot,,209.76648,10.7616,4.942782,1011.608,0.057242852,Kepler-15,G,1.02,0.99,5515,0.81234611
Kepler-150 b,0,0.29195686,Terran,Hot,,,1.25552,3.428054,1132.738,0.044,Kepler-150,G,,0.94,5560,0.75656025
Kepler-150 c,0,0.19346714,Neptunian,Hot,,,3.68809,7.381998,879.41599,0.073,Kepler-150,G,,0.94,5560,0.75656025
Kepler-150 d,0,0.23591618,Neptunian,Hot,,,2.79129,12.56093,736.78219,0.104,Kepler-150,G,,0.94,5560,0.75656025
Kepler-150 e,0,0.26104058,Neptunian,Hot,,,3.11638,30.826557,546.54369,0.189,Kepler-150,G,,0.94,5560,0.75656025
Kepler-150 f,0,0.53097482,Neptunian,Warm,,,3.64325,637.2093,213.37569,1.24,Kepler-150,G,,0.94,5560,0.75656025
Kepler-1500 b,0,0.30886321,Terran,Hot,,,1.19947,15.03301,746.27373,0.11918096,Kepler-1500,G,1,1,5845,1.0457472
Kepler-1501 b,0,0.28550457,Superterran,Hot,,,1.55819,14.556453,889.14017,0.12395775,Kepler-1501,F,1.2,1.3,6229,2.2795476
Kepler-1502 b,0,0.21901109,Neptunian,Hot,,,3.18364,41.708363,747.5215,0.26573321,Kepler-1502,F,1.44,1.72,6666,5.2336753
Kepler-1503 b,0,0.60962125,Superterran,Hot,,,2.27563,96.16987,313.2605,0.37644295,Kepler-1503,K,0.77,0.74,5069,0.3239226
Kepler-1504 b,0,0.50278688,Superterran,Hot,,,2.1299,82.304003,361.26432,0.35069523,Kepler-1504,G,0.85,0.81,5393,0.49725638
Kepler-1505 b,0,0.36098038,Terran,Hot,,,0.93043,30.860937,536.16876,0.18790714,Kepler-1505,G,0.93,0.86,5686,0.69264862
Kepler-1506 b,0,0.30756678,Terran,Hot,,,1.32278,14.032915,721.23409,0.11190497,Kepler-1506,G,0.95,0.93,5676,0.80431115
Kepler-1507 b,0,0.32576653,Terran,Hot,,,0.84075,16.050621,635.29202,0.11975697,Kepler-1507,G,0.89,0.85,5410,0.55451789
Kepler-1508 b,0,0.30281519,Terran,Hot,,,1.33399,20.70565,763.66248,0.15412406,Kepler-1508,F,1.14,1.22,6158,1.9176398
Kepler-1509 b,0,0.30050977,Superterran,Hot,,,1.84965,25.43382,616.22199,0.16921959,Kepler-1509,G,1,0.99,5780,0.9801
Kepler-151 b,0,0.23710879,Neptunian,Hot,,,3.06033,15.228958,643.75374,0.116,Kepler-151,G,,0.83,5460,0.54854897
Kepler-151 c,0,0.3096,Superterran,Hot,,,2.08506,24.674612,548.13656,0.16,Kepler-151,G,,0.83,5460,0.54854897
