P_NAME,P_HABITABLE,P_ESI,P_TYPE_COMP,P_TYPE_TEMP,P_DISTANCE_LY,P_MASS_EM,P_RADIUS,P_ORBIT_PERIOD_DAYS,P_TEMP_EQUIL_K,P_DISTANCE_STAR_AU,S_NAME,S_TYPE,S_MASS_SM,S_RADIUS,S_TEMPERATURE_K,S_LUMINOSITY
Mercury,0,0.6,Subterran,Hot,0,0.0553,0.38,88,440,0.387,Sun,G,1,1,5788,1
Venus,0,0.44,Terran,Hot,0,0.815,0.95,225,730,0.723,Sun,G,1,1,5788,1
Earth,3,1,Terran,Warm,0,1,1,365.25,288,1,Sun,G,1,1,5788,1
Mars,0,0.7,Subterran,Warm,0,0.1075,0.53,687,227,1.523,Sun,G,1,1,5788,1
Jupiter,0,0.29,Jovian,Cold,0,317.8,10.97,4333,152,5.203,Sun,G,1,1,5788,1
Saturn,0,0.25,Jovian,Cold,0,95.2,9.14,10756,134,9.538,Sun,G,1,1,5788,1
Uranus,0,0.19,Neptunian,Cold,0,14.6,3.98,30687,76,19.819,Sun,G,1,1,5788,1
Neptune,0,0.18,Neptunian,Cold,0,17.2,3.87,60190,72,30.058,Sun,G,1,1,5788,1
11 Com b,0,0.083813263,Jovian,Hot,,6165.8633,,326.03,799.44963,1.3244178,11 Com,K,2.7,19,4742,163.5468
11 UMi b,0,0.082414476,Jovian,Hot,,4684.7848,,516.21997,819.07569,1.534896,11 UMi,K,2.78,29.79,4213,250.49294
14 And b,0,0.081917127,Jovian,Hot,,1525.5744,,185.84,772.30746,0.83,14 And,G,2.2,11,4813,58.175144
14 Her b,0,0.14524062,Jovian,Cold,,1481.0785,,1773.4,131.38424,3.1305585,14 Her,K,0.9,0.93,5338,0.62917118
16 Cyg B b,0,0.36862709,Jovian,Warm,,565.73385,,798.5,202.22783,2.043792,16 Cyg B,G,1.08,1.13,5750,1.2505956
18 Del b,0,0.21617437,Jovian,Hot,,3273.6284,,993.3,396.65045,2.60832,18 Del,G,2.3,8.5,4979,39.782769
1RXS J160929.1-210524 b,0,,Jovian,Hot,,2542.624,,,,330,1RXS J160929.1-210524,K,0.85,,4060,
24 Boo b,0,0.065684936,Jovian,Hot,,289.22348,,30.3506,1613.7579,0.19016758,24 Boo,G,0.99,10.64,4893,58.139697
24 Sex b,0,0.17730446,Jovian,Hot,,632.47773,,452.8,430.60546,1.3383987,24 Sex,K,1.54,4.9,5098,14.530486
24 Sex c,0,0.2724776,Jovian,Hot,,273.33208,,883,343.04216,2.167464,24 Sex,K,1.54,4.9,5098,14.530486
2MASS J01225093-2439505 b,0,,Jovian,Hot,,7786.7861,,,,52,2MASS J01225093-2439505,M,0.4,,3530,
2MASS J02192210-3925225 b,0,0.056530021,Jovian,Cold,,4417.8092,16.1424,,5.7216666,156,2MASS J02192210-3925225,M,0.11,0.28,3064,0.006190985
2MASS J04414489+2301513 b,0,,Jovian,Hot,,2383.71,,,,15,2MASS J04414489+2301513,M,0.02,,,
2MASS J12073346-3932539 b,0,,Jovian,Hot,,1271.312,,,,46,2MASS J12073346-3932539,M,0.02,,,
2MASS J19383260+4603591 b,0,,Jovian,Hot,,603.87321,,416,,0.92,2MASS J19383260+4603591,,0.48,,,
2MASS J21402931+1625183 A b,0,0.084157251,Jovian,Cold,,6658.4967,10.3132,7336.5,19.598998,3.2908045,2MASS J21402931+1625183 A,M,0.08,0.12,2300,0.000361046
2MASS J22362452+4751425 b,0,,Jovian,Hot,,3972.85,13.339,,,230,2MASS J22362452+4751425,K,0.6,,4045,
30 Ari B b,0,0.30089651,Jovian,Hot,,4392.383,,335.10001,331.24213,1.0316295,30 Ari B,F,1.93,1.41,6331,2.8616474
4 UMa b,0,0.076992961,Jovian,Hot,,2256.5788,,269.3,877.01545,0.95118144,4 UMa,K,1.23,18.11,4415,111.64734
42 Dra b,0,0.07908401,Jovian,Hot,,1233.1727,,479.1,789.07763,1.275918,42 Dra,K,0.98,22.03,4200,135.3053
47 UMa b,0,0.31106267,Jovian,Warm,,804.10485,,1078,198.7444,2.1010752,47 UMa,G,1.03,1.23,5892,1.6336154
47 UMa c,0,0.17714066,Jovian,Cold,,171.62712,,2391,151.71194,3.6172872,47 UMa,G,1.03,1.23,5892,1.6336154
47 UMa d,0,0.079493064,Jovian,Cold,,521.23792,,14002,84.431345,11.74848,47 UMa,G,1.03,1.23,5892,1.6336154
51 Eri b,0,,Jovian,Hot,,653.81,,11688,,13.215,51 Eri,F,1.75,,,
51 Peg b,0,0.065394653,Jovian,Hot,,150.01482,,4.230785,1218.432,0.052704453,51 Peg,G,1.12,1.2,5793,1.4529988
55 Cnc b,0,0.088599759,Jovian,Hot,,263.98794,,14.65152,654.14301,0.11522767,55 Cnc,G,0.91,0.94,5196,0.57705994
55 Cnc c,0,0.19669217,Jovian,Hot,,54.47572,,44.4175,451.95192,0.24142428,55 Cnc,G,0.91,0.94,5196,0.57705994
55 Cnc d,0,0.08875056,Jovian,Cold,,1232.537,,4825,94.654352,5.5039933,55 Cnc,G,0.91,0.94,5196,0.57705994
55 Cnc e,0,0.2598972,Superterran,Hot,,8.0791878,1.9057,0.736539,1787.008,0.01544,55 Cnc,G,0.91,0.94,5196,0.57705994
55 Cnc f,0,0.45748768,Neptunian,Warm,,44.813748,,262,248.65483,0.82465185,55 Cnc,G,0.91,0.94,5196,0.57705994
6 Lyn b,0,0.28576359,Jovian,Hot,,638.83429,,934.3,341.57316,2.1156221,6 Lyn,K,1.44,5.2,4938,14.404549
61 Vir b,0,0.25355145,Superterran,Hot,,5.085248,,4.215,1074.0012,0.050562447,61 Vir,G,0.94,0.96,5577,0.79879197
61 Vir c,0,0.22814035,Neptunian,Hot,,18.116196,,38.021,515.80897,0.2196315,61 Vir,G,0.94,0.96,5577,0.79879197
61 Vir d,0,0.37195088,Neptunian,Hot,,22.883616,,123.01,346.34605,0.505155,61 Vir,G,0.94,0.96,5577,0.79879197
7 CMa b,0,0.37834721,Jovian,Warm,,781.85689,,796,229.87309,1.976706,7 CMa,K,1.52,2.3,4792,2.4992607
70 Vir b,0,0.14126541,Jovian,Hot,,2357.0125,,116.688,475.14878,0.51924947,70 Vir,G,1.09,1.89,5495,2.9179849
75 Cet b,0,0.14524422,Jovian,Hot,,953.48401,,691.9,477.2133,2.1143734,75 Cet,G,2.49,10.5,4846,54.475457
8 UMi b,0,0.070820113,Jovian,Hot,,416.35468,,93.4,979.29341,0.490882,8 UMi,K,1.44,10.3,4847,52.463248
81 Cet b,0,0.16929368,Jovian,Hot,,1684.4884,,952.7,441.22513,2.553045,81 Cet,G,2.4,11,4785,56.833158
91 Aqr b,0,0.078414548,Jovian,Hot,,1017.0496,,181.4,815.07247,0.70025515,91 Aqr,K,1.4,11,4665,51.342925
AB Pic b,0,,Jovian,Hot,,4290.678,,,,260,AB Pic,K,,,,
BD+03 2562 b,0,0.076881824,Jovian,Hot,,2034.0992,,481.9,898.12947,1.326,BD+03 2562,K,1.14,32.35,4095,263.66522
BD+14 4559 b,0,0.3690268,Jovian,Warm,,330.54112,,268.94,223.9117,0.812799,BD+14 4559,K,0.49,0.86,4864,0.37090255
BD+15 2375 b,0,0.075857,Jovian,Hot,,337.21551,,153.22,807.74977,0.57600029,BD+15 2375,G,1.08,8.95,4649,33.525318
BD+15 2940 b,0,0.068451851,Jovian,Hot,,352.78908,,137.48,1099.2378,0.5572182,BD+15 2940,K,1.1,14.7,4796,102.43303
BD+20 2457 b,0,0.077113291,Jovian,Hot,5022,17668.059,327.3,379.63,1541.7216,1.0618125,BD+20 2457,K,10.83,71.02,4259,1486.8958
BD+20 2457 c,0,0.074902725,Jovian,Hot,,3963.3152,,621.99,1113.6017,2.042562,BD+20 2457,K,10.83,71.02,4259,1486.8958
BD+20 274 b,0,0.087983596,Jovian,Hot,,1334.8776,,578.2,688.84477,1.328665,BD+20 274,K,0.8,17.3,4296,91.335149
BD+20 594 b,0,0.30796205,Neptunian,Hot,,22.24796,2.5783,41.6855,499.95899,0.27908623,BD+20 594,G,1.67,1.08,5766,1.1551402
BD+48 738 b,0,0.089639787,Jovian,Hot,,289.22348,,392.6,643.64774,1.02,BD+48 738,K,0.74,11,4414,41.153174
BD+48 740 b,0,0.11328601,Jovian,Hot,,540.3076,,733,471.51405,2.19096,BD+48 740,K,1.09,10.33,4534,40.403162
BD+49 828 b,0,0.35395377,Jovian,Hot,,508.5248,,2590,290.77041,4.45725,BD+49 828,K,1.52,7.6,4943,30.894294
BD-06 1339 b,0,0.23577592,Superterran,Hot,,8.5813561,,3.8728,707.79148,0.0428,BD-06 1339,K,0.7,,4324,0.10912625
BD-06 1339 c,0,0.41593589,Jovian,Warm,,54.03076,,125.94,220.65029,0.45590175,BD-06 1339,K,0.7,,4324,0.10912625
BD-08 2823 b,0,0.20503107,Neptunian,Hot,,12.71312,,5.6,729.1933,0.060675,BD-08 2823,K,0.5,0.71,4816,0.24296922
BD-08 2823 c,0,0.36057653,Jovian,Warm,,104.88324,,237.6,216.41573,0.692274,BD-08 2823,K,0.5,0.71,4816,0.24296922
BD-10 3166 b,0,0.06663348,Jovian,Hot,,187.51852,,3.48777,1133.7762,0.040008,BD-10 3166,K,1.47,0.91,5393,0.62761471
BD-11 4672 b,0,0.083110123,Jovian,Cold,,168.44884,,1667,94.183848,2.28285,BD-11 4672,K,0.57,0.52,4475,0.097155523
BD-13 2130 b,0,0.091453244,Jovian,Hot,,3108.3579,,714.29999,678.88563,1.696603,BD-13 2130,G,2.12,19.17,4545,140.49744
BD-17 63 b,0,0.20149258,Jovian,Cold,,905.80981,,655.59998,149.79878,1.535372,BD-17 63,K,0.31,0.74,4665,0.23235856
CFBDSIR J145829+101343 b,0,0.071553799,Jovian,Cold,,3337.194,,10037.5,5.0703749,2.6,CFBDSIR J145829+101343,,0.02,,580.5,1.06E-06
CHXR 73 b,0,,Jovian,Hot,,3994.7802,,,,210,CHXR 73,M,0.35,,,
CI Tau b,0,,Jovian,Hot,,3686.8048,,8.9891,,0.084223218,CI Tau,K,0.9,,,
CT Cha b,0,,Jovian,Hot,,5403.076,24.662,,,440,CT Cha,K,,,,
CoRoT-1 b,0,0.055287801,Jovian,Hot,,327.36284,16.7029,1.5089557,1736.9794,0.025304732,CoRoT-1,G,0.95,1.11,5950,1.3835742
CoRoT-10 b,0,0.10705569,Jovian,Hot,,874.02701,10.8737,13.2406,600.56763,0.12031747,CoRoT-10,K,0.89,0.79,5075,0.37092578
CoRoT-11 b,0,0.057585358,Jovian,Hot,,740.53925,16.0303,2.99433,1591.1824,0.0436,CoRoT-11,F,1.27,1.37,6440,2.8924992
CoRoT-12 b,0,0.057989717,Jovian,Hot,,291.44828,16.1424,2.828042,1320.5715,0.040258392,CoRoT-12,G,1.08,1.12,5675,1.1657036
CoRoT-13 b,0,0.089452023,Jovian,Hot,,415.71903,9.92085,4.03519,1166.1235,0.051,CoRoT-13,G,1.09,1.01,5945,1.1416654
CoRoT-14 b,0,0.073010313,Jovian,Hot,,2415.4928,12.2189,1.51214,1780.759,0.027,CoRoT-14,F,1.13,1.21,6035,1.7400771
CoRoT-16 b,0,0.071126858,Jovian,Hot,,170.03798,13.1157,5.35227,1085.1728,0.06516501,CoRoT-16,G,1.1,1.19,5650,1.292934
CoRoT-17 b,0,0.077848461,Jovian,Hot,,772.32205,11.4342,3.7681,1485.8572,0.0461,CoRoT-17,G,1.04,1.59,5740,2.4588411
CoRoT-18 b,0,0.062762778,Jovian,Hot,,1102.8632,14.6851,1.9000693,1395.5035,0.0295944,CoRoT-18,G,0.95,1,5440,0.78466493
CoRoT-19 b,0,0.063296681,Jovian,Hot,,352.78908,14.4609,3.89713,1514.7866,0.051857213,CoRoT-19,F,1.21,1.65,6090,3.3552563
CoRoT-2 b,0,0.056730355,Jovian,Hot,,1102.8632,16.43386,1.7429935,1413.9397,0.027982861,CoRoT-2,G,0.96,0.91,5625,0.74278229
CoRoT-20 b,0,,Jovian,Hot,,1366.6604,,9.24285,,0.1056645,CoRoT-20,G,1.14,,,
CoRoT-20 c,0,,Jovian,Warm,,5403.076,,1675,,3.422,CoRoT-20,G,1.14,,,
CoRoT-21 b,0,0.062381207,Jovian,Hot,,718.29129,14.573,2.72474,1868.7794,0.0417,CoRoT-21,F,1.29,1.95,6200,5.0341323
CoRoT-22 b,0,0.15972958,Neptunian,Hot,,12.077464,4.87635,9.75598,921.14439,0.092272734,CoRoT-22,G,1.1,1.14,5939,1.4486106
CoRoT-23 b,0,0.075857806,Jovian,Hot,,889.91841,11.7705,3.6313,1503.7019,0.0486144,CoRoT-23,G,1.14,1.61,5900,2.8141578
CoRoT-24 b,0,0.19411491,Neptunian,Hot,,5.7209041,3.6993,5.1134,855.02238,0.056,CoRoT-24,K,0.91,0.86,4950,0.39783807
CoRoT-24 c,0,0.17922871,Neptunian,Hot,,27.968864,4.9324,11.759,646.33617,0.098,CoRoT-24,K,0.91,0.86,4950,0.39783807
CoRoT-25 b,0,0.075279299,Jovian,Hot,,85.813561,12.1068,4.86069,1207.9906,0.0578,CoRoT-25,F,1.09,1.19,6040,1.6886138
CoRoT-26 b,0,0.064832669,Jovian,Hot,,165.27056,14.1246,4.20474,1437.35,0.0526,CoRoT-26,G,1.09,1.79,5590,2.8031216
CoRoT-27 b,0,0.079710894,Jovian,Hot,,3302.233,11.28847,3.57532,1238.4049,0.047700555,CoRoT-27,G,1.05,1.08,5900,1.2663222
CoRoT-28 b,0,0.083423344,Jovian,Hot,,153.82875,10.70555,5.20851,1233.1493,0.060366601,CoRoT-28,G,1.01,1.78,5150,1.9969057
CoRoT-29 b,0,0.088633847,Jovian,Hot,,270.1538,10.089,2.85057,1119.0451,0.038729773,CoRoT-29,K,0.97,0.9,5260,0.55554167
CoRoT-3 b,0,0.078362194,Jovian,Hot,,6884.1545,11.3221,4.2568,1553.1139,0.057078415,CoRoT-3,F,1.37,1.56,6740,4.4996365
CoRoT-4 b,0,0.071916717,Jovian,Hot,,228.83616,13.3399,9.20205,983.73788,0.09,CoRoT-4,F,1.16,1.17,6190,1.8006237
CoRoT-5 b,0,0.059920464,Jovian,Hot,,148.42568,15.55948,4.0378962,1318.0415,0.049670354,CoRoT-5,F,1,1.19,6100,1.7567174
CoRoT-6 b,0,0.074394253,Jovian,Hot,,940.77089,13.07086,8.886593,926.57211,0.0859275,CoRoT-6,F,1.05,1.02,6090,1.282207
CoRoT-7 b,0,0.2711924,Superterran,Hot,,3.17828,1.6815,0.85359163,1650.0792,0.016479635,CoRoT-7,G,0.82,0.83,5275,0.47789742
CoRoT-7 c,0,0.22191743,Superterran,Hot,,8.4001941,,3.698,987.64226,0.046,CoRoT-7,G,0.82,0.83,5275,0.47789742
CoRoT-8 b,0,0.13742542,Jovian,Hot,,69.922161,6.3897,6.21229,782.80911,0.063,CoRoT-8,K,0.88,0.77,5080,0.35377321
CoRoT-9 b,0,0.2348433,Jovian,Hot,,266.97552,11.94986,95.272656,382.67119,0.40565637,CoRoT-9,G,0.96,0.96,5625,0.82664914
CoRoTID 223977153 b,0,0.13283036,Jovian,Hot,,47.6742,6.3897,6.71837,877.75998,0.071,CoRoTID 223977153,G,1.08,0.79,5970,0.71029728
DE CVn b,0,,Jovian,Hot,,3823.2484,,4098.1,,5.75,DE CVn,,0.51,,,
DENIS-P J082303.1-491201 b,0,,Jovian,Hot,,9058.0981,,246.36,,0.3814245,DENIS-P J082303.1-491201,,0.07,,,
DH Tau b,0,,Jovian,Hot,,3496.108,,,,330,DH Tau,M,0.33,0.27,,
DP Leo b,0,0.070085617,Jovian,Cold,,1922.8594,,10220,20.587384,8.8128495,DP Leo,B,,0.01,13500,0.002975937
DS Tuc A b,0,0.14622437,Neptunian,Hot,,,5.70589,8.138268,831.7769,0.079427582,DS Tuc A,G,1.01,0.96,5428,0.71678757
EPIC 205950854 c,0,0.30040596,Terran,Hot,,,1.31157,8.050722,805.16543,0.075317114,K2-168,G,0.88,0.83,5502.7,0.56591105
EPIC 211822797 b,0,0.47295382,Superterran,Hot,,,1.98417,21.169861,381.31313,0.1312358,EPIC 211822797,M,0.66,0.57,4148.21,0.086194845
EPIC 211945201 b,0,0.14598589,Neptunian,Hot,,,5.76194,19.49221,816.22841,0.1493,EPIC 211945201,G,1.17,1.39,6069,2.3484796
EPIC 212737443 b,0,0.28611074,Neptunian,Hot,,,2.58951,13.603,538.46915,0.09996,EPIC 212737443,K,0.69,0.67,4684,0.1936002
EPIC 212737443 c,0,0.55484659,Neptunian,Hot,,,2.6904,65.55,318.56264,0.2856,EPIC 212737443,K,0.69,0.67,4684,0.1936002
EPIC 220674823 b,0,0.264088,Superterran,Hot,,,1.81602,0.571331,2117.2987,0.0134,EPIC 220674823,G,0.97,0.98,5617,0.85656139
EPIC 220674823 c,0,0.23785034,Neptunian,Hot,,,2.73524,13.339079,742.03119,0.1091,EPIC 220674823,G,0.97,0.98,5617,0.85656139
EPIC 246851721 b,0,0.07660444,Jovian,Hot,,953.48401,11.78171,6.180235,1282.0598,0.07229,EPIC 246851721,F,1.32,1.59,6202,3.351274
EPIC 246865365 b,0,0.088231145,Jovian,Hot,,,9.90964,3.38628,1405.0473,0.045408131,EPIC 246865365,F,1.09,1.24,6100,1.9074421
EPIC 248847494 b,0,0.22658077,Jovian,Cold,,4131.764,12.4431,3650,167.22896,4.5,EPIC 248847494,K,0.9,2.7,4898,3.7591642
GJ 1132 b,0,0.35877177,Terran,Hot,,1.6590622,,1.628931,532.3506,0.01567026,GJ 1132,M,0.18,0.21,3270,0.004517709
GJ 1132 c,0,0.72328994,Terran,Hot,,2.6411507,,8.929,301.33711,0.04933502,GJ 1132,M,0.18,0.21,3270,0.004517709
GJ 1148 b,0,0.38216808,Jovian,Warm,,96.69917,,41.38,221.23955,0.1779852,GJ 1148,M,0.35,0.4,3264,0.016270812
GJ 1148 c,0,0.11079477,Jovian,Cold,,68.059689,,532.58,94.562916,0.96533558,GJ 1148,M,0.35,0.4,3264,0.016270812
GJ 1214 b,0,0.28108586,Neptunian,Hot,,6.2612117,2.84734,1.5804046,526.66424,0.01411,GJ 1214,M,0.15,0.22,3026,0.003635881
GJ 1265 b,0,0.42395713,Superterran,Hot,,7.3990359,,3.6511,385.5425,0.0260208,GJ 1265,M,0.18,0.19,3236,0.003546745
GJ 143 b,0,0.41786258,Neptunian,Hot,,22.699276,2.61193,35.61253,387.35278,0.19488419,GJ 143,K,0.73,0.69,4640,0.19772371
GJ 163 b,0,0.3882952,Neptunian,Hot,,10.599564,,8.63182,386.88117,0.060861735,GJ 163,M,0.4,0.382,3500,0.019619483
GJ 163 c,2,0.68670545,Superterran,Warm,49,6.8015193,2.5,25.63058,269.09231,0.12601452,GJ 163,M,0.4,0.382,3500,0.019619483
GJ 163 d,0,0.15474439,Neptunian,Cold,,29.39909,,603.95116,93.086873,1.1020793,GJ 163,M,0.4,0.382,3500,0.019619483
GJ 179 b,0,0.067884657,Jovian,Cold,,260.61896,,2288,58.81917,2.4631405,GJ 179,M,0.36,0.38,3370,0.016686892
Teegarden's Star b,1,0.93120767,Terran,Warm,12,1.0488324,1.02,4.91,298,0.0252,Teegarden's Star,M,0.09,0.11,2904,0.000771011
GJ 273 c,0,0.45850136,Terran,Hot,,1.1791419,,4.7234,419.61315,0.036993948,GJ 273,M,0.29,0.29,3382,0.009857779
GJ 3021 b,0,0.28477569,Jovian,Hot,,1071.0804,,133.71,325.16469,0.55397465,GJ 3021,G,0.9,0.9,5540,0.6836168
GJ 3138 b,0,0.30283713,Terran,Hot,,1.7798368,,1.22003,823.51608,0.020055585,GJ 3138,M,0.68,0.5,3717,0.04275618
GJ 3138 c,0,0.35515277,Terran,Hot,,4.1794382,,5.974,484.87267,0.05734485,GJ 3138,M,0.68,0.5,3717,0.04275618
GJ 3138 d,0,0.30452358,Neptunian,Cold,,10.501037,,257.8,137.75525,0.7337376,GJ 3138,M,0.68,0.5,3717,0.04275618
GJ 3293 b,0,0.52122719,Neptunian,Warm,,23.538342,,30.5987,255.10464,0.1436481,GJ 3293,M,0.42,0.4,3466,0.020688207
GJ 3293 c,0,0.30684382,Neptunian,Cold,,21.091066,,122.6196,160.5247,0.36393859,GJ 3293,M,0.42,0.4,3466,0.020688207
GJ 3293 d,2,0.61973842,Superterran,Warm,66,7.5992676,2.67,48.1345,219.20455,0.19533637,GJ 3293,M,0.42,0.4,3466,0.020688207
GJ 3293 e,0,0.59736812,Terran,Hot,,3.279985,,13.2543,336.3145,0.083889864,GJ 3293,M,0.42,0.4,3466,0.020688207
K2-72 e,1,0.90286374,Terran,Warm,217,2.21,1.28915,24.158868,307,0.1066413,K2-72,M,0.27,0.33,3360.47,0.012442757
GJ 3323 c,0,0.39157817,Terran,Cold,,2.3106096,,40.54,135.42324,0.12822648,GJ 3323,M,0.16,0.12,3159,0.001284842
GJ 3341 b,0,0.50351493,Superterran,Hot,,6.6108225,,14.207,343.44139,0.09327645,GJ 3341,M,0.47,0.44,3526,0.026811631
GJ 3470 b,0,0.19183894,Neptunian,Hot,,13.898619,4.57368,3.3366496,624.57808,0.0355,GJ 3470,M,0.54,0.55,3600,0.045522282
GJ 357 b,0,0.3915561,Terran,Hot,,1.8402241,1.22189,3.93072,481.51579,0.035,GJ 357,M,0.34,0.34,3505,0.015631425
GJ 357 c,0,0.53064379,Terran,Hot,,3.4007596,,9.1247,364.73684,0.061,GJ 357,M,0.34,0.34,3505,0.015631425
GJ 357 d,2,0.57128654,Superterran,Warm,31,6.0991194,2.34,55.661,199.4479,0.204,GJ 357,M,0.34,0.34,3505,0.015631425
GJ 3779 b,0,0.31171787,Superterran,Hot,,7.9997308,,3.0232,480.6592,0.0260637,GJ 3779,M,0.27,0.28,3324,0.008575289
GJ 3942 b,0,0.28767606,Superterran,Hot,,7.1384169,,6.905,539.3931,0.061245086,GJ 3942,M,0.63,0.61,3867,0.074549546
GJ 3998 b,0,0.31195279,Terran,Hot,,2.4695236,,2.64977,674.36105,0.029,GJ 3998,M,0.5,0.49,3722,0.041284429
GJ 3998 c,0,0.44009772,Superterran,Hot,,6.2612117,,13.74,384.88524,0.089106844,GJ 3998,M,0.5,0.49,3722,0.041284429
GJ 411 b,0,0.56962921,Terran,Hot,,2.9907615,,12.9532,348.97906,0.0803997,GJ 411,M,0.39,0.39,3563,0.021962468
GJ 4276 b,0,0.42906097,Neptunian,Hot,,16.568374,,13.352,330.86988,0.0876129,GJ 4276,M,0.41,0.41,3387,0.019820616
GJ 433 b,0,0.36422091,Superterran,Hot,,6.3565601,,7.3709,440.20403,0.060192,GJ 433,M,0.59,0.5,3461,0.032139199
GJ 504 b,0,0.069554746,Jovian,Cold,,1271.312,,,39.863842,43.5,GJ 504,G,1.22,,6234,1.1342674
GJ 536 b,0,0.37267725,Superterran,Hot,,5.3585801,,8.7076,444.83179,0.066823152,GJ 536,M,0.52,0.5,3685,0.041302717
GJ 581 b,0,0.318045,Neptunian,Hot,,15.2,,5.368,416.35844,0.041009923,GJ 581,M,0.32300001,0.29899999,3498,0.011992514
GJ 581 c,0,0.6211458,Superterran,Hot,,5.652,,12.919,309.77811,0.074280054,GJ 581,M,0.32300001,0.29899999,3498,0.011992514
GJ 581 e,0,0.38264987,Terran,Hot,,1.657,,3.1530001,494.59254,0.029226562,GJ 581,M,0.32300001,0.29899999,3498,0.011992514
GJ 625 b,0,0.71078019,Terran,Hot,,2.8191344,,14.628,306.42984,0.07902315,GJ 625,M,0.3,0.31,3499,0.012905885
GJ 667 C b,0,0.38258998,Superterran,Hot,,5.7209041,,7.2004,430.0647,0.050926725,GJ 667 C,M,0.33,,3350,0.020796086
GJ 3323 b,1,0.89839814,Terran,Warm,17,2.0213861,1.23,5.3636,265.35756,0.033688089,GJ 3323,M,0.16,0.12,3159,0.001284842
TRAPPIST-1 d,1,0.88802761,Subterran,Warm,41,0.40999812,0.77349,4.04961,296,0.021492528,TRAPPIST-1,M,0.08,0.12,2559,0.000553264
GJ 1061 c,1,0.87904164,Terran,Warm,12,1.75,1.18,6.689,311,0.035,GJ 1061,M,0.12,0.156,2953,0.001658027
GJ 667 C g,0,0.34385546,Terran,Cold,,4.449592,,256.2,130.52091,0.5507568,GJ 667 C,M,0.33,,3350,0.020796086
GJ 676 A b,0,0.096945248,Jovian,Cold,,1576.4269,,1056.8001,100.6316,1.919099,GJ 676 A,M,0.73,0.69,3734,0.082924733
GJ 676 A c,0,0.07239586,Jovian,Cold,,2161.2304,,7337,53.216213,6.6,GJ 676 A,M,0.73,0.69,3734,0.082924733
GJ 676 A d,0,0.28355303,Terran,Hot,,4.449592,,3.6005,669.09551,0.042807002,GJ 676 A,M,0.73,0.69,3734,0.082924733
GJ 676 A e,0,0.56751232,Superterran,Hot,,7.9457001,,35.39,313.41605,0.19138915,GJ 676 A,M,0.73,0.69,3734,0.082924733
GJ 685 b,0,0.49911126,Superterran,Hot,,9.000889,,24.16,337.14963,0.1344,GJ 685,M,0.55,0.54,3816,0.055399983
GJ 687 b,0,0.53089782,Neptunian,Warm,,19.06968,,38.14,234.11533,0.170136,GJ 687,M,0.45,0.43,3340,0.020616333
GJ 832 b,0,0.066974826,Jovian,Cold,,216.12304,,3657,57.075646,3.571392,GJ 832,M,0.45,,3472,0.031975683
GJ 832 c,2,0.72779088,Superterran,Warm,16,5.403076,2.19,35.68,266.29863,0.1656406,GJ 832,M,0.45,0.18,3472,0.031975683
GJ 849 b,0,0.070609125,Jovian,Cold,,317.828,,1882,67.835442,2.35188,GJ 849,M,0.65,0.53,3241,0.027768761
GJ 86 b,0,0.10161138,Jovian,Hot,,1404.7998,,15.76491,604.25472,0.110088,GJ 86,K,0.93,0.77,5182,0.38305376
GJ 9827 b,0,0.2794649,Superterran,Hot,,4.9104426,1.58061,1.2089819,1080.6959,0.0188,GJ 9827,K,0.61,0.6,4340,0.11443268
GJ 9827 c,0,0.30738876,Terran,Hot,,0.83906593,1.24431,3.6480957,747.93283,0.03925,GJ 9827,K,0.61,0.6,4340,0.11443268
GJ 9827 d,0,0.28929095,Superterran,Hot,,4.0395939,2.0178,6.2014698,626.66823,0.05591,GJ 9827,K,0.61,0.6,4340,0.11443268
Gl 378 b,0,0.2146175,Neptunian,Hot,,13.021413,,3.822,643.82288,0.039669264,Gl 378,M,0.56,0.56,3879,0.063612698
Gl 49 b,0,0.41757765,Superterran,Hot,,5.6287339,,13.8508,394.75053,0.096462547,Gl 49,M,0.52,0.51,3805,0.048848096
Gl 686 b,0,0.51240568,Superterran,Hot,,6.639427,,15.5314,345.4083,0.091971845,Gl 686,M,0.42,0.42,3663,0.028453448
HAT-P-1 b,0,0.063301959,Jovian,Hot,,166.8597,14.78599,4.4652998,1209.0235,0.05561,HAT-P-1,G,1.15,1.17,5980,1.5684299
HAT-P-11 b,0,0.18011769,Neptunian,Hot,,23.398498,4.36069,4.8878024,755.69713,0.053788455,HAT-P-11,K,0.81,0.68,4780,0.21628085
HAT-P-11 c,0,0.0830892,Jovian,Cold,,506.99605,,3407,83.365778,4.8758801,HAT-P-11,K,0.81,0.68,4780,0.21628085
HAT-P-12 b,0,0.088893894,Jovian,Hot,,67.061709,10.75039,3.2130598,875.09143,0.0384,HAT-P-12,K,0.73,0.7,4650,0.20525632
HAT-P-13 b,0,0.064111452,Jovian,Hot,,270.47163,14.25912,2.91625,1506.4818,0.042679344,HAT-P-13,G,1.22,1.56,5653,2.2266594
HAT-P-13 c,0,0.35550128,Jovian,Warm,,4538.5839,,446.27,272.95182,1.4881528,HAT-P-13,G,1.22,1.56,5653,2.2266594
HAT-P-14 b,0,0.058310146,Jovian,Hot,,1093.3283,15.9182,4.62767,1430.1579,0.075646006,HAT-P-14,F,2.65,1.82,6600,5.6312806
